我也愿意对庵野导演鼓掌说“恭喜完结”，,0.8782,1
就好像导演在提醒观众，,0.2468,-1
导演成功地熬死了我作为二次元阿宅最后的仅剩的现实行动力。,0.4002,0
导演，,0.1428,-1
导演啰嗦，,0.1496,-1
这部片子成功让我第一次质疑究竟是演员木头还是导演无能。,0.1409,-1
只可惜导演把握节奏的功力太差，,0.1361,-1
这么拍的导演简直是铁憨憨,0.2453,-1
德温特先生是个什么东西啊贺卡侠又土又油两个奶子比女的还大要把我闪瞎了🙈导演似乎怕观众看不懂？,0.2608,-1
导演你这样做对得起我K对得起我嘛？,0.2359,-1
导演完全远离了贵族生活圈。,0.2072,-1
导演节奏把握得非常差，,0.133,-1
明白导演想表达和原著不一样的内涵，,0.1706,-1
毕竟问题出在导演本身。,0.1584,-1
con:导演在气氛营造方面十足的五十度灰没有一分的希区柯克这种疑神疑鬼但从头至尾不见鬼的情节最靠镜头营造气氛然而硬生生拍成言情小电影过多的流连于展现夫妻两人如胶似漆的情节--如果先生这么体贴夫人有什么好担心的？,0.4296,0
导演的叙事方法完全没有悬疑感，,0.1663,-1
白左导演懂个毛人类隐忍的情感，,0.2189,-1
这部电影唯一的价值就是让人们看到同一个故事在不同导演的处理之下，,0.4377,0
镜头所见与摄影机所动同导演伊斯特伍德和演员伊斯特伍德融为一体，,0.6919,0
又用《理查德·朱维尔的哀歌》证明了导演技艺的稳健，,0.7037,1
依然跟近十来年老爷子导演的不少作品一样更像是一部“成人童话”，,0.5157,0
其实真要说的话这部的水准在其导演的电影里可能只能是中等甚至于中偏下的，,,
和作为本片导演和主演的东木，,0.3828,0
老导演已经看淡一切了，,0.1594,-1
反正导演椅就是他最好的归宿。,0.3835,0
可以看出老派的导演/呈现方式。,0.3922,0
做导演功力还在，,0.3828,0
有的导演再怎么重复自己也不会让人讨厌，,0.3182,0
他可能是现在所有的导演里，,0.3431,0
可以找个有创意的新导演拍得酷一点、帅气一些呢，,0.8489,1
导演也懒得打磨故事了，,0.1435,-1
如果史泰龙选择亲自导演这部电影，,0.391,0
这也是导演阿德里安·格鲁伯格在其成名作里擅长的，,0.4074,0
不太懂导演在想什么。,0.1549,-1
我也很欣赏导演没把男主写成一个圣人，,0.538,0
孟买女导演带着另一位女编剧，,0.2464,-1
女导演拍得很大气，,0.1803,-1
但导演还是很细致地捕捉到了Murad由Murad到GullyBoy之间的转变，,0.5652,0
看得时候就觉得导演像是拍过《人生不再重来》的，,0.3853,0
女导演细腻的笔触和视角，,0.3738,0
导演ZoyaAkhtar和她的老搭档ReemaKagti共同带来的这部“GullyBoy”总体电影一般，,0.3482,0
种姓问题上再融入性别与宗教议题浅显却不失激烈的批判姿态并不显廉价女导演女编剧是意外的惊喜！,0.5183,0
导演很强，,0.3713,0
导演把环境对人的影响描写地丝丝入扣，,0.4249,0
我发现第三代导演有个特点，,0.3737,0
相比于第二代导演在建国后虚伪的歌功颂德，,0.2855,-1
第三代导演虽说政治宣传色彩也很浓，,0.3867,0
王苹导演的仍旧很细腻，,0.5027,0
相比于某些导演流水账式的叙事，,0.3937,0
王苹凭着自己的导演经验相信王心刚能够演好这个角色，,0.3777,0
原来是大导演，,0.1636,-1
而且是女导演。,0.1559,-1
研究生毕业的时候写的王苹的导演艺术，,0.3356,0
距离诺顿上一次当导演虽然已经快20年了，,0.2776,-1
导演加主演。,0.2185,-1
当导演的诺顿显然无法做出取舍，,0.2167,-1
再追随着主演（导演）的脚步一点点拾起散落的碎片，,0.3643,0
可是自己导演就…算了吧…虽然剧情还可以，,0.2164,-1
不过导演功力倒是能有所展现。,0.4048,0
1.爱德华·诺顿导演、编剧、制片并主演，,0.285,-1
诺顿的导演本领不行，,0.2009,-1
虽然导演和男主诺顿几乎是偏心过头地贯穿了每一个场和各种加戏，,0.783,1
诺顿当导演编剧就像他的表演一样，,0.2523,-1
只能说诺顿是个聪明的导演却不是天才型选手，,0.3036,0
节奏与剪辑则是新人导演最容易受到大众观众批评（或者拥护）的两大争议点。,0.3514,0
演员转导演里诺顿真不错哎，,0.4447,0
但导演功力已经显现，,0.2017,-1
诺顿的表演比导演好太多了~,0.6168,0
诺顿的导演处女作完成得还算不错。,0.7058,1
爱德华·诺顿导演，,0.3523,0
导演？,0.1437,-1
他应当去跟昆汀学习如何成为一个害羞而又出格的导演。,0.3891,0
诺顿作为新人导演在剪辑上颇为稚嫩，,0.2665,-1
所以演员的表演还真是很考验导演的功力。,0.4098,0
只能说诺顿当导演还是不太行。,0.1654,-1
这角色太适合导演本人了！,0.3881,0
3.5开始导演吧走向东木之路,0.4501,0
导演深谙知名配角演员即是boss之道来了反其道而行之，,0.3893,0
导演把握的度很准确，,0.7416,1
监制和导演毕竟是有区别的，,0.2246,-1
导演添加改动的部分则几乎都在水准线以下，,0.2422,-1
导演罗德里格兹也不错，,0.8228,1
比导演都没看过原作的攻壳真人版强……,0.4001,0
杀伐场面的确有导演一贯的cult趣味，,0.8717,1
看的如坐针毡一边想睡觉一边想电影什么时候完啊开挂女主一路打怪顺便谈恋爱的故事还插入了运动政治自由阶级等诸多没说明白的大坑各种无脑圣母情结为了秀特效的桥段导演想说的太多哪个都没说透故事线没起伏人物塑造没深意说洗白就洗白便当领的没成本反派死于话多倒是青少年叛逆很明晰世界观那么大要拍续集的架势冲着诺叔最后一个镜头我却一点也不期待真的是浪费时间,,
美学上：导演放弃了传统赛博朋克九龙寨式霓虹美学，,0.6723,0
就是B级片导演放到A制作里天然会产生别扭感，,0.2752,-1
打群架的B级片导演踏上恢弘征途，,0.587,0
导演应该把攻壳再拍一遍，,0.1995,-1
不知道导演是什么意思,0.1527,-1
有种过气香港导演的气质，,0.25,-1
"觉得这部电影好,是和其他好莱坞电影相比觉得这部电影不好,是和漫画原著相比导演大概有强烈的预感这部电影拍不出第二集了,所以抓紧机会把前几卷自己喜欢的桥段都塞进去,为了把这些桥段在有限的篇幅内快速的串起来魔改了部分设定,导致中间衔接的文戏非常的尬但不吹不黑,真人选角的气质都很还原,而且打斗戏是真的好,反正能看到以这样的质感再现漫画名场面我已经满足了理智评价3.5分,出于情感四舍五入到4.0分ˊ_>ˋ",,
！/知道导演罗德里格兹是德州人后，,0.3919,0
想称赞德州嬉皮士城市出生长大的导演，,0.4442,0
这样的改编只能体现出导演没有领悟到原著的要领（然而他们的前作《闪亮的眼睛》我还蛮喜欢的...），,0.447,0
就等着导演怎么演绎。,0.1796,-1
这或许是两个导演的原因；片中的面具虽然说是恐怖电影的标配，,0.3165,0
导演也就要拍个简单恐怖的鬼屋片，,0.131,-1
大概导演还是带着非常正统的人死不得复生的理念吧。,0.7257,1
导演在某处镜头处理的方式也模仿了【我认为确实是模仿了】《闪灵》最经典的镜头。,0.7194,1
导演无用，,0.1347,-1
但感觉两位导演只是看中了恐怖的故事转折和能做出的视觉效果，,0.3565,0
！导演的拍摄手法有点为了吓人而吓人，,0.1485,-1
导演还试图用人物在安静的环境中缓慢的行动，,0.4573,0
被导演拍成了一个傻批无脑爸爸作死记，,0.1541,-1
导演是可有可无，,0.1512,-1
让人难过；可惜导演功力不足，,0.1861,-1
导演的本意呢，,0.1838,-1
莫非导演有个《如何拍反战题材傻瓜指导手册》？,0.1553,-1
导演叙事让人昏昏欲睡，,0.1377,-1
但导演显然也没想去深挖几个人的复杂人性，,0.2293,-1
事实证明让拍沙雕片的导演来拍摇滚传记是个非常正确的选择，,0.6029,0
乐队属性和导演风格都完全不同。,0.2745,-1
还是导演选择了这种，,0.189,-1
网飞给导演的自由度我真是服气的。,0.1661,-1
导演一拍脑门儿：忘了反战，,0.1693,-1
